obs_time,location,obs
2023-05-16 04:00:00,131,12.8
2023-05-16 05:00:00,131,11.2
2023-05-16 06:00:00,131,10.7
2023-05-16 07:00:00,131,10.9
2023-05-16 08:00:00,131,14.2
2023-05-16 09:00:00,131,12.3
2023-05-16 10:00:00,131,11.9
2023-05-16 11:00:00,131,10.9
2023-05-16 12:00:00,131,11.2
2023-05-16 13:00:00,131,13.8
2023-05-16 14:00:00,131,12.5
2023-05-16 15:00:00,131,14.5
2023-05-16 16:00:00,131,16.4
2023-05-16 17:00:00,131,18.0
2023-05-16 18:00:00,131,18.8
2023-05-16 19:00:00,131,21.4
2023-05-16 20:00:00,131,22.3
2023-05-16 21:00:00,131,22.9
2023-05-16 22:00:00,131,23.5
2023-05-16 23:00:00,131,23.4
2023-05-17 00:00:00,131,23.6
2023-05-17 01:00:00,131,23.4
2023-05-17 02:00:00,131,19.2
2023-05-17 03:00:00,131,15.8
2023-05-17 04:00:00,131,15.2
2023-05-17 05:00:00,131,10.4
2023-05-17 06:00:00,131,7.2
